id,poj_input,poj_unicode,tailo_input,tailo_unicode,hoagi,abbreviations,noun_classifiers,reduplication,english_descriptions,page_number
10217,hin,hin,hin,hin,興旺,"SV ",,,"flourishing, prosperous",
10218,hin5,hîn,hin5,hîn,暈眩,"V ",,,be nauseated,
10219,hin5,hîn,hin5,hîn,暈眩,"SV ",,,"giddy, dizzy, nauseated",
10220,hin5-chun5,hîn-chûn,hin5-tsun5,hîn-tsûn,暈船,"V ",,,(experience) seasickness,
10221,hin5-chun5,hîn-chûn,hin5-tsun5,hîn-tsûn,暈船,"N ",,,(experience) seasickness,
10222,hin5-gong7,hîn-gōng,hin5-gong7,hîn-gōng,頭暈,"SV ",,,"dizzy, giddy",
10223,hin5-ioh8-a2,hîn-io̍h-á,hin5-ioh8-a2,hîn-io̍h-á,暈車藥,"N ",,,medicine for motion sickness,
10224,hin5-soa,hîn-soa,hin5-sua,hîn-sua,發痧,"N ",,,sudden cramps and dizziness,
10225,hin5-soann,hîn-soaⁿ,hin5-suann,hîn-suann,昏眩,"SV ",,,"dizzy (temproarily, after riding on a ship, etc)",
10226,hin7,hīn,hin7,hīn,恨,"V ",,,hate,
10227,"Hio, hio","Hio, hio","Hio, hio","Hio, hio",," ",,,,
10228,hio2-jim7,hió-jīm,hio2-jim7,hió-jīm,否認,"V ",,,"deny (statement, knowledge, etc)",
10229,hio7-chia2,hiō-chiá,hio7-tsia2,hiō-tsiá,後者,"Nsub ",dial,,the latter,
10230,hio7-tai7,hiō-tāi,hio7-tai7,hiō-tāi,後代,"N ",,,offspring; posterity,
10231,"Hioh, hioh","Hioh, hioh","Hioh, hioh","Hioh, hioh",," ",,,,
10232,hioh,hioh,hioh,hioh,歇,"V ",,,stop (activity) for a brief rest,
10233,hioh-am3,hioh-àm,hioh-am3,hioh-àm,過夜,"VO ",,,"pass the night, stay overnight",
10234,hioh-cham7,hioh-chām,hioh-tsam7,hioh-tsām,休息,"VO ",,,"pause for a rest (work, musical score, trip, etc), take a recess (school, etc)",
10235,hioh-chhoan2,hioh-chhoán,hioh-tshuan2,hioh-tshuán,緩氣,"V ",,,"pause for breath, ""take a breather""",
10236,hioh-joah8,hioh-joa̍h,hioh-juah8,hioh-jua̍h,放暑假,"VO ",,,(take) summer vacation,
10237,hioh-joah8,hioh-joa̍h,hioh-juah8,hioh-jua̍h,放暑假,"N ",,,(take) summer vacation,
10238,hioh-kang,hioh-kang,hioh-kang,hioh-kang,歇工,"VO ",,,rest from work,
10239,hioh-koann5,hioh-kôaⁿ,hioh-kuann5,hioh-kuânn,放寒假，寒假,"VO ",,,(take) winter vacation,
10240,hioh-koann5,hioh-kôaⁿ,hioh-kuann5,hioh-kuânn,放寒假，寒假,"N ",,,(take) winter vacation,
10241,hioh-kha,hioh-kha,hioh-kha,hioh-kha,歇腳,"VO ",,,"rest overnight (in a hotel or inn), stop for a rest (on a trip)",
10242,hioh-khun3,hioh-khùn,hioh-khun3,hioh-khùn,休息,"V ",,,rest,
10243,hioh-khun3-jit8,hioh-khùn-ji̍t,hioh-khun3-jit8,hioh-khùn-ji̍t,假日,"Nt ",,,"holiday, non-working day",
10244,hioh-liang5,hioh-liâng,hioh-liang5,hioh-liâng,歇涼,"V ",,,rest and cool (oneself),
10245,hioh-me5,hioh-mê,hioh-me5,hioh-mê,宿夜,"VO ",,,spend the night (at a hotel or friend's home),
10246,hioh-mi5,hioh-mî,hioh-mi5,hioh-mî,宿夜,"VO ",,,spend the night (at a hotel or friend's home),
10247,hioh-ng2,hioh-ńg,hioh-ng2,hioh-ńg,乘涼,"VO ",,,rest in the shade,
10248,hioh-sian7,hioh-siān,hioh-sian7,hioh-siān,休息,"V ",,,rest (when tired from work),
10249,hioh-siu7,hioh-siū,hioh-siu7,hioh-siū,歸巢,"VO ",,,"rest on the nest, go to roost",
10250,hioh8,hio̍h,hioh8,hio̍h,片,"M ",,,"leaf (tree, vegetable)",
10251,hioh8,hio̍h,hioh8,hio̍h,葉子,"N ",,,leaf,
10252,hioh8,hio̍h,hioh8,hio̍h,把,"N ",ki,,paper for a fan,
10253,hioh8-a2,hio̍h-á,hioh8-a2,hio̍h-á,葉子,"N ",,,"leaf (tree, vegetable)",
10254,hioh8-a2-chhau2,hio̍h-á-chháu,hioh8-a2-tshau2,hio̍h-á-tsháu,葉仔草,"N ",châng,,Tephrosia obovata,
10255,hioh8-a2-chhau2,hio̍h-á-chháu,hioh8-a2-tshau2,hio̍h-á-tsháu,葉仔草,"N ",châng,,Tephrosia purpurea,
10256,hioh8-e7-ang5,hio̍h-ē-âng,hioh8-e7-ang5,hio̍h-ē-âng,葉下紅,"N ",châng,,Emilia sonchifolia,
10257,hioh8-e7-chu,hio̍h-ē-chu,hioh8-e7-tsu,hio̍h-ē-tsu,葉下珠,"N ",châng,,Phyllanthus urinaria,
10258,hioh8-e7-chu,hio̍h-ē-chu,hioh8-e7-tsu,hio̍h-ē-tsu,葉下珠,"N ",châng,,Phyllanthus niruri,
10259,hioh8-e7-peh8,hio̍h-ē-pe̍h,hioh8-e7-peh8,hio̍h-ē-pe̍h,鈴木紅皮,"N ",châng,,"Formosan snow-bell, Styrax formosana ",
10260,hioh8-e7-peh8,hio̍h-ē-pe̍h,hioh8-e7-peh8,hio̍h-ē-pe̍h,葉下白,"N ",châng,,"cork-leaf snow-bell, Styrax suberifolia",
10261,hioh8-e7-peh8,hio̍h-ē-pe̍h,hioh8-e7-peh8,hio̍h-ē-pe̍h,葉下白,"N ",châng,,"Cuming croton, Croton cascarilloides",
10262,hioh8-tiau,hio̍h-tiau,hioh8-tiau,hio̍h-tiau,葉鯛,N Ich,bé,,any of several wrasses of the genus Thalassoma,
10263,"Hiong, hiong","Hiong, hiong","Hiong, hiong","Hiong, hiong",," ",,,,
10264,hiong,hiong,hiong,hiong,凶,"N ",,,"bad luck, ill fate",
10265,hiong,hiong,hiong,hiong,兇,"SV ",,,"wicked, vicious",
10266,hiong,hiong,hiong,hiong,鄉,"M ",,,"rural administrative district which includes several villages and which is one of the two basic units which combine to form a county (see koan7, tin3)",
10267,hiong,hiong,hiong,hiong,鄉,"N ",,,"rural administrative district which includes several villages and which is one of the two basic units which combine to form a county (see koan7, tin3)",
10268,hiong,hiong,hiong,hiong,急,"SV ",,,"hurried, hasty (of an action)",
10269,hiong-an3,hiong-àn,hiong-an3,hiong-àn,香案,"N ",,,incense-table,
10270,hiong-an3,hiong-àn,hiong-an3,hiong-àn,香案,"R ",,,incense-table,
10271,hiong-bin5,hiong-bîn,hiong-bin5,hiong-bîn,鄉民,"N ",,,residents of a country district,
10272,hiong-bu5,hiong-bû,hiong-bu5,hiong-bû,銹(巫鳥),"N ",chiah,,"chestnut bunting, Emberiza rutila",
10273,hiong-chiong,hiong-chiong,hiong-tsiong,hiong-tsiong,慌張,"SV ",,hiong-hiong-chiong-chiong,hurried and careless,
10274,hiong-chng,hiong-chng,hiong-tsng,hiong-tsng,鄉莊,"N ",ê,,"village (pref hiuN-sia7, chng-sia7)",
10275,hiong-chhai3,hiong-chhài,hiong-tshai3,hiong-tshài,莞萎,"N ",,,"coriander, Coriandrum sativum",
10276,hiong-chhin,hiong-chhin,hiong-tshin,hiong-tshin,鄉親,"N ",ê,,fellow villager,
10277,hiong-chhiu2,hiong-chhiú,hiong-tshiu2,hiong-tshiú,兇手,"N ",ê,,murderer,
10278,hiong-chhoan,hiong-chhoan,hiong-tshuan,hiong-tshuan,鄉村,"N ",chhoan,,village (syn hiuN-sia7),
10279,hiong-chhu2,hiong-chhú,hiong-tshu2,hiong-tshú,,N Zool,chiah,,"Swinhoe's house shrew, Swinhoe's brown musk shrew, Suncus murinus",
10280,hiong-ha7,hiong-hā,hiong-ha7,hiong-hā,鄉下,"N ",,,rural locality,
10281,hiong-hoan7,hiong-hoān,hiong-huan7,hiong-huān,兇犯,"N ",ê,,murderer,
10282,hiong-hu7 (-chu2),hiong-hū (-chú),hiong-hu7 (-tsu2),hiong-hū (-tsú),香附子,"N ",,,"a common grass which grows about 3 ""high, Cyperus rotundus",
10283,hiong-ju2,hiong-jú,hiong-ju2,hiong-jú,香菇,"N ",châng,,Glossogyne tenuifolia,
10284,hiong-ju5,hiong-jû,hiong-ju5,hiong-jû,香需,"N ",châng,,"an aromatic herb, Elsholtzia oldhami",
10285,hiong-kan,hiong-kan,hiong-kan,hiong-kan,鄉間,"N ",,,"countryside, country district",
10286,hiong-kang2-kha,hiong-káng-kha,hiong-kang2-kha,hiong-káng-kha,香港腳,"N ",,,"Hong-kong foot, athlete's foot, fungus infection of the foot",
10287,hiong-ko2,hiong-kó,hiong-ko2,hiong-kó,蒲桃,"N ",châng,,"rose-apple, Syzygium jambas",
10288,hiong-kong-soo2,hiong-kong-só͘,hiong-kong-soo2,hiong-kong-sóo,鄉公所,"N ",ê,,government office for a rural administrative district (cf hiong),
10289,hiong-kong5,hiong-kông,hiong-kong5,hiong-kông,慌忙,"SV ",,hiong-hiong-kông-kông,"hasty, impulsive",
10290,hiong-kut,hiong-kut,hiong-kut,hiong-kut,胸骨,N Anat,,,sternum,
10291,hiong-khi3,hiong-khì,hiong-khi3,hiong-khì,兇器,"N ",,,murder weapon,
10292,hiong-khiong,hiong-khiong,hiong-khiong,hiong-khiong,胸腔,N Anat,,,chest cavity,
10293,hiong-khok,hiong-khok,hiong-khok,hiong-khok,胸廓,N Anat,,,thorax,
10294,hiong-le5,hiong-lê,hiong-le5,hiong-lê,香螺,N Zool,lia̍p,,"a snail of the triton family, Cymatium pileare",
10295,hiong-li2,hiong-lí,hiong-li2,hiong-lí,鄉里,"N ",,,"countryside, rural area",
10296,hiong-ni5,hiong-nî,hiong-ni5,hiong-nî,凶年,"N ",,,"year of famine, a bad year",
10297,hiong-ok,hiong-ok,hiong-ok,hiong-ok,凶惡,"SV ",,,"wicked, vicious",
10298,hiong-ok,hiong-ok,hiong-ok,hiong-ok,凶惡,"N ",,,"wickedness, vice",
10299,hiong-poo7,hiong-pō͘,hiong-poo7,hiong-pōo,胸部,N Anat,,,"chest region, thorax",
10300,hiong-sat,hiong-sat,hiong-sat,hiong-sat,凶殺,"Nmod ",,,murder <hiong-sat an3 : murder trial>,
10301,hiong-sim5,hiong-sîm,hiong-sim5,hiong-sîm,香蕈,N Bot,lúi,,"an edible mushroom, Cortinellus edodes",
10302,hiong-siu2,hiong-siú,hiong-siu2,hiong-siú,凶首,"N ",ê,,murderer,
10303,hiong-soann3,hiong-sòaⁿ,hiong-suann3,hiong-suànn,胸腺,N Anat,,,thymus,
10304,hiong-soah,hiong-soah,hiong-suah,hiong-suah,煞神,"N ",,,"deleterious, malign or injurious influences by evil spirits",
10305,hiong-su7,hiong-sū,hiong-su7,hiong-sū,不幸的事,"N ",,,"unlucky affair (death, funeral, etc)",
10306,hiong-tin3,hiong-tìn,hiong-tin3,hiong-tìn,鄉鎮,"N ",,,the two type of administrative district which make up a county,
10307,hiong-tiunn2,hiong-tiúⁿ,hiong-tiunn2,hiong-tiúnn,鄉長,"N ",ê,,head of the government of a rural administrative district (see hiong),
10308,hiong-thong5,hiong-thông,hiong-thong5,hiong-thông,胸膛,N Anat,,,thorax,
10309,hiong2,hióng,hiong2,hióng,鯙,N Ich,bé,,"moray eel, any eel of the family Muraenidae",
10310,hiong2-e5,hióng-ê,hiong2-e5,hióng-ê,那種,eph5 CT,,,"that kind, that sort (var of hit chiong2 e5, hit khoan2 e5)",
10311,hiong2-eng3,hióng-èng,hiong2-ing3,hióng-ìng,響應,"V ",,,"respond (favorably to someone's action), join in supporting (action)",
10312,hiong2-eng3,hióng-èng,hiong2-ing3,hióng-ìng,響應,"N ",,,"response (to someone's action), support",
10313,hiong2-hok,hióng-hok,hiong2-hok,hióng-hok,享福,"VO ",,,enjoy good fortune and happiness (syn hiong2-lok8),
10314,hiong2-iu2,hióng-iú,hiong2-iu2,hióng-iú,享有,"V ",,,"enjoy (special privileges, etc)",
10315,hiong2-lok8,hióng-lo̍k,hiong2-lok8,hióng-lo̍k,享樂,"VO ",,,enjoy sensual pleasures (syn hiong2-hok),
10316,hiong2-lok8,hióng-lo̍k,hiong2-lok8,hióng-lo̍k,享樂,"N ",,,enjoyment,
10317,hiong2-ni5,hióng-nî,hiong2-ni5,hióng-nî,享年,"VO ",,,enjoy old age,
10318,hiong2-pan2,hióng-pán,hiong2-pan2,hióng-pán,響板,"N ",,,"""bones"" or clappers, two small pieces of hard wood held between the fingers and clacked toghther to keep time in a Taiwanese Opera",
10319,hiong2-siu7,hióng-siū,hiong2-siu7,hióng-siū,享受,"V ",,,enjoy (the comforts of life),
10320,hiong2-siu7,hióng-siū,hiong2-siu7,hióng-siū,享受,"N ",,,enjoyment (of the comforts of life),
10321,hiong2-siu7,hióng-siū,hiong2-siu7,hióng-siū,享壽,"VO ",,,enjoy old age,
10322,hiong3,hiòng,hiong3,hiòng,向,"V ",,,"face towards, be disposed towards",
10323,hiong3,hiòng,hiong3,hiòng,向,"R ",,,"face towards, be disposed towards",
10324,hiong3,hiòng,hiong3,hiòng,餉,N Bib,,,custom's dues,
10325,hiong3,hiòng,hiong3,hiòng,餉,"N ",,,"provisions, pay (civil or military service)",
10326,hiong3-gun5,hiòng-gûn,hiong3-gun5,hiòng-gûn,薪餉,"N ",,,"soldier's pay, civil servant's pay",
10327,hiong3-jit8-kui3,hiòng-ji̍t-kùi,hiong3-jit8-kui3,hiòng-ji̍t-kuì,向日葵,"N ",châng,,"sunflower, Helianthus annus",
10328,hiong3-koan,hiòng-koan,hiong3-kuan,hiòng-kuan,餉關,N Bib,,,"tax office, toll-gate",
10329,hiong3-lai5,hiòng-lâi,hiong3-lai5,hiòng-lâi,向來,"Smod ",,,hitherto,
10330,hiong3-lai5,hiòng-lâi,hiong3-lai5,hiòng-lâi,向來,"Pmod ",,,hitherto,
10331,hiong3-sim-lek8,hiòng-sim-le̍k,hiong3-sim-lik8,hiòng-sim-li̍k,向心力,"N ",,,centripetal force,
10332,hiong3-sim-seng3,hiòng-sim-sèng,hiong3-sim-sing3,hiòng-sim-sìng,向心性,"N ",,,centripetal tendency,
10333,hiong3-siong7,hiòng-siōng,hiong3-siong7,hiòng-siōng,向上,"VO ",,,"make progress, show improvement",
10334,hiong3-siong7-sim,hiòng-siōng-sim,hiong3-siong7-sim,hiòng-siōng-sim,向上心,"N ",,,"ambition, desire to get ahead",
10335,hiong3-to7,hiòng-tō,hiong3-to7,hiòng-tō,嚮導,"N ",ê,,"guide, escort",
10336,hiong3-thian,hiòng-thian,hiong3-thian,hiòng-thian,朝天,"VO ",,,"face upward, be in a supine position (also of sthg overturned, as a car with its wheels in the air)",
10337,hiong3-thian-choann2,hiòng-thian-chóaⁿ,hiong3-thian-tsuann2,hiòng-thian-tsuánn,向天盞,"N ",châng,,"Japanese farfugium, Farfugium japonica",
10338,hiong3-thian-hong5,hiòng-thian-hông,hiong3-thian-hong5,hiòng-thian-hông,向天黃,"N ",châng,,"a kind of clammy-weed, Polanisia icosandra",
10339,hiong5,hiông,hiong5,hiông,兇,"SV ",,"hiông-kài-kài, hiông-kúi-kúi","fierce-looking, large and coarse-looking (man)",
10340,hiong5,hiông,hiong5,hiông,狠,"SV ",,,ruthless (in business),
10341,hiong5-beng2,hiông-béng,hiong5-bing2,hiông-bíng,兇猛,"SV ",,,"fierce, brave",
10342,hiong5-chong3,hiông-chòng,hiong5-tsong3,hiông-tsòng,雄壯,"SV ",,,"well-proportioned (body), handsome and strong (person)",
10343,hiong5-hiong5-chau2,hiông-hiông-cháu,hiong5-hiong5-tsau2,hiông-hiông-tsáu,快跑,"Vph ",,,"run fast, run quickly",
10344,hiong5-hun2,hiông-hún,hiong5-hun2,hiông-hún,氣憤,"SV ",,,fierce ardor or zeal,
10345,hiong5-lau5,hiông-lâu,hiong5-lau5,hiông-lâu,急流,"SV ",,,swift-flowing,
10346,hiong5-lau5,hiông-lâu,hiong5-lau5,hiông-lâu,急流,"N ",,,swift current,
10347,hiong5-pian7,hiông-piān,hiong5-pian7,hiông-piān,雄辯,"SV ",,,eloquent,
10348,hiong5-pian7,hiông-piān,hiong5-pian7,hiông-piān,雄辯,"N ",,,eloquence,
10349,hiong5-pian7-ka,hiông-piān-ka,hiong5-pian7-ka,hiông-piān-ka,雄辯家,"N ",ê,,"debator, orator",
10350,"Hip, hip","Hip, hip","Hip, hip","Hip, hip",," ",,,,
10351,hip,hip,hip,hip,摀,"V ",,,"cover (to retain heat and exclude air, as dishes of food, sick person, etc)",
10352,hip,hip,hip,hip,摀,"V ",,,suffocate by over-covering (a child),
10353,hip,hip,hip,hip,悶,"SV ",,,"close, muggy (atmosphere)",
10354,hip,hip,hip,hip,攝,"V ",,,"photograph, take (pictures)",
10355,hip-joah8,hip-joa̍h,hip-juah8,hip-jua̍h,悶熱,"SV ",,,"close, muggy (weather)",
10356,hip-koa3,hip-kòa,hip-kua3,hip-kuà,蓋蓋,"VO ",,,cover (to retain heat and exclude air),
10357,hip-si2,hip-sí,hip-si2,hip-sí,窒息,"RV ",,,suffocate (a child accidentally by covering),
10358,hip-sit,hip-sit,hip-sit,hip-sit,撲滅,"RV ",,,extinguish by covering,
10359,"Hit, hit","Hit, hit","Hit, hit","Hit, hit",," ",,,,
10360,hit,hit,hit,hit,那,"Sp ",,,that,
10361,hit-chun7,hit-chūn,hit-tsun7,hit-tsūn,那時,"Sp+M ",,,that time,
10362,hit-lo7,hit-lō,hit-lo7,hit-lō,那種,"Sp+M ",,,"that kind, that sort (phon var of hit-ho7)",
10363,hit-nih8,hit-ni̍h,hit-nih8,hit-ni̍h,那裡,"PW ",,,"there, that place",
10364,hit-tah,hit-tah,hit-tah,hit-tah,那邊,"PW ",,,"there, that place",
10365,hit-tiap8,hit-tia̍p,hit-tiap8,hit-tia̍p,那時,"TW ",,,"then, that time",
10366,hit8,hi̍t,hit8,hi̍t,使活動,"V ",,,"work (sthg) back and forth (to loosen it, e.g. a post in the ground), use every means to move (a person to accept a positon, etc)",
10367,"Hiu, hiu","Hiu, hiu","Hiu, hiu","Hiu, hiu",," ",,,,
10368,hiu-giap8,hiu-gia̍p,hiu-giap8,hiu-gia̍p,休業,"VO ",,,close business for a holiday,
10369,hiu-iong2,hiu-ióng,hiu-iong2,hiu-ióng,休養,"V ",,,recuperate,
10370,hiu-iong2,hiu-ióng,hiu-iong2,hiu-ióng,休養,"N ",,,recuperation,
10371,hiu-ka2,hiu-ká,hiu-ka2,hiu-ká,休假,"VO ",,,"(take) holidays, (take) a vacation",
10372,hiu-ka2,hiu-ká,hiu-ka2,hiu-ká,休假,"N ",,,"(take) holidays, (take) a vacation",
10373,hiu-ka2-jit8,hiu-ká-ji̍t,hiu-ka2-jit8,hiu-ká-ji̍t,休假日,"Nt ",,,"holiday(s), vacation",
10374,hiu-khek,hiu-khek,hiu-khik,hiu-khik,休克,N Med,,,"shock, depression of the vital processes",
10375,hiu-liu5,hiu-liû,hiu-liu5,hiu-liû,(休鳥)鶹,N Zool,chiah,,"Formosan pigmy owl, Glaucidium brodiei pardalotum",
10376,hiu-sek,hiu-sek,hiu-sik,hiu-sik,休息,"V ",,,"rest, (take a) recess, (take an) intermission",
10377,hiu-sek,hiu-sek,hiu-sik,hiu-sik,休息,"N ",,,"rest, (take a) recess, (take an) intermission",
10378,hiu2-hoai7,hiú-hoāi,hiu2-huai7,hiú-huāi,腐爛,"V ",,,"rot away (of material, like wood, cf hiu2-noa7)",
10379,hiu2-juh,hiú-juh,hiu2-juh,hiú-juh,保險絲,"N ",tiâu,,fuse (syn nng2-soaN3),
10380,hiu2-noa7,hiú-nōa,hiu2-nua7,hiú-nuā,朽爛,"V ",,,"rot, putrefy (animal matter, fruit, etc - result is wet and stinking - cf hiu2-hoai7)",
10381,hiu3,hiù,hiu3,hiù,抖(掉),"V ",,,"shake vigorously (fingers after a burn or insect bite), shake off water (of a dog, after swimming), shake off liquid (i.e. sprinkle water clothes, sprinkle cologne on oneself, etc)",
10382,hiu3-beng5,hiù-bêng,hiu3-bing5,hiù-bîng,再興,"V ",,,"revive (a custom, plant, etc)",
10383,hiu3-beng5,hiù-bêng,hiu3-bing5,hiù-bîng,復盟,"V ",,,renew (a treaty),
10384,hiu3-hiu3-kio3,hiù-hiù-kiò,hiu3-hiu3-kio3,hiù-hiù-kiò,嘯聲(風),"Vph ",,,make a sighing sound (wind),
10385,hiu3-hoa3-lap8,hiù-hòa-la̍p,hiu3-hua3-lap8,hiù-huà-la̍p,溴化鈉,N Chem,,,"sodium bromide, NaBr",
10386,hiu3-ju3,hiù-jù,hiu3-ju3,hiù-jù,保險絲,"N ",,,fuse (electric syn nng2-soaN3),
10387,hiu3-kak,hiù-kak,hiu3-kak,hiù-kak,嗅覺,"N ",,,sense of smell,
10388,hiu3-kiu5,hiù-kiû,hiu3-kiu5,hiù-kiû,嗅球,N Anat,,,olfactory bulb,
10389,hiu3-le2,hiù-lé,hiu3-le2,hiù-lé,洗禮,N Prot,,,"baptism by sprinkling (syn tih-le2, cf seng3-sian2, chim3-le2)",
10390,hiu3-sin5-keng,hiù-sîn-keng,hiu3-sin5-king,hiù-sîn-king,嗅神經,N Anat,,,olfactory nerve,
10391,hiu5,hiû,hiu5,hiû,裘,"N ",niá,,padded jacket,
10392,"Hiunn, hiunn","Hiuⁿ, hiuⁿ","Hiunn, hiunn","Hiunn, hiunn",," ",,,,
10393,hiunn,hiuⁿ,hiunn,hiunn,香,"N ",,,incense,
10394,hiunn,hiuⁿ,hiunn,hiunn,香,"N ",ki,,incense-stick,
10395,hiunn,hiuⁿ,hiunn,hiunn,鄉,"N ",,,village,
10396,hiunn,hiuⁿ,hiunn,hiunn,瘦,"SV ",,"hiuN-hiuN, hiuN-hiuN-hiuN","slender, thin (person, ant phang3)",
10397,hiunn-bin5,hiuⁿ-bîn,hiunn-bin5,hiunn-bîn,鄉民,"N ",,,villagers,
10398,hiunn-chek,hiuⁿ-chek,hiunn-tsik,hiunn-tsik,香燭,"N ",,,"incense and candles, paraphernalia of worship",
10399,hiunn-chng,hiuⁿ-chng,hiunn-tsng,hiunn-tsng,鄉村,"N ","ê, chng",,village,
10400,hiunn-chha5,hiuⁿ-chhâ,hiunn-tsha5,hiunn-tshâ,香木,"N ",,,scented wood,
10401,hiunn-chhin,hiuⁿ-chhin,hiunn-tshin,hiunn-tshin,鄉親,"N ",ê,,fellow villager,
10402,hiunn-chhoan,hiuⁿ-chhoan,hiunn-tshuan,hiunn-tshuan,鄉村,"N ",chhoan,,village,
10403,hiunn-e7,hiuⁿ-ē,hiunn-e7,hiunn-ē,鄉下,"N ",,,countryside,
10404,hiunn-ha7,hiuⁿ-hā,hiunn-ha7,hiunn-hā,鄉下,"N ",,,countryside,
10405,hiunn-he2,hiuⁿ-hé,hiunn-he2,hiunn-hé,香火,"N ",ê,,worshipper who burns incense in a temple,
10406,hiunn-he2,hiuⁿ-hé,hiunn-he2,hiunn-hé,香火,"N ",ê,,son who burns incense on the family altar,
10407,hiunn-he2,hiuⁿ-hé,hiunn-he2,hiunn-hé,香火,"N ","tè, ê",,"amulet (containing a charm or incense ashes, etc, cf hiuN-phang)",
10408,hiunn-hoe2,hiuⁿ-hóe,hiunn-hue2,hiunn-hué,香火,"N ",ê,,worshipper who burns incense in a temple,
10409,hiunn-hoe2,hiuⁿ-hóe,hiunn-hue2,hiunn-hué,香火,"N ",ê,,son who burns incense on the family altar,
10410,hiunn-hoe2,hiuⁿ-hóe,hiunn-hue2,hiunn-hué,香火,"N ","tè, ê",,"amulet (containing a charm or incense ashes, etc, cf hiuN-phang)",
10411,hiunn-hu,hiuⁿ-hu,hiunn-hu,hiunn-hu,香灰,"N ",,,incense ashes,
10412,hiunn-inn5,hiuⁿ-îⁿ,hiunn-inn5,hiunn-înn,佛手柑,"N ","châng, lia̍p",,Citrus medica,
10413,hiunn-inn5,hiuⁿ-îⁿ,hiunn-inn5,hiunn-înn,佛手柑,"N ","châng, lia̍p",,"fingered citron, Citrus medica var. sarcodactylis (used as fruit offering in the temples)",
10414,hiunn-inn5-koe,hiuⁿ-îⁿ-koe,hiunn-inn5-kue,hiunn-înn-kue,梨瓜,"N ",châng,,"chayote, christophine, vegetable pear, Sechium edule",
10415,hiunn-ian,hiuⁿ-ian,hiunn-ian,hiunn-ian,香煙,"N ",,,smoke of burning incense,
10416,hiunn-iu5,hiuⁿ-iû,hiunn-iu5,hiunn-iû,香油,N Bib,,,"perfume, nard, spikenard",
10417,hiunn-kam,hiuⁿ-kam,hiunn-kam,hiunn-kam,香橙,"N ","châng, lia̍p",,"a sour orange, Citrus aurantium",
10418,hiunn-kam,hiuⁿ-kam,hiunn-kam,hiunn-kam,香橙,"N ","châng, lia̍p",,"king mandarin, king orange, Citrus nobilis",
10419,hiunn-kan,hiuⁿ-kan,hiunn-kan,hiunn-kan,鄉間,"N ",,,"countryside, rural area",
10420,hiunn-ko,hiuⁿ-ko,hiunn-ko,hiunn-ko,香膏,"N ",,,perfumed ointment,
10421,hiunn-koo,hiuⁿ-ko͘,hiunn-koo,hiunn-koo,香菇,"N ",,,large black edible mushroom,
10422,hiunn-kui3,hiuⁿ-kùi,hiunn-kui3,hiunn-kuì,香桂,"N ",châng,,"fragrant cinnamon, Cinnamomum randaiense",
10423,hiunn-kui3,hiuⁿ-kùi,hiunn-kui3,hiunn-kuì,香桂,"N ",châng,,"Taiwan camphor tree, Cinnamomum reticulatum",
10424,hiunn-kui3,hiuⁿ-kùi,hiunn-kui3,hiunn-kuì,玉山新木薑子,"N ",châng,,"Yu-shan neolitsea, sharp three-nerved neolitsea, Neolitsea acuto-trinervia",
10425,hiunn-kha,hiuⁿ-kha,hiunn-kha,hiunn-kha,香根,"N ",,,stump of an incense-stick,
10426,hiunn-kheh,hiuⁿ-kheh,hiunn-kheh,hiunn-kheh,香客,"N ",ê,,worshipper (goes to temple to burn incense),
10427,hiunn-lam5,hiuⁿ-lâm,hiunn-lam5,hiunn-lâm,香楠,"N ",châng,,"narrow-leaved machilus, Machilus zuihoensis",
10428,hiunn-lam5,hiuⁿ-lâm,hiunn-lam5,hiunn-lâm,香楠,"N ",châng,,"gold-colored neolitsea, Neolitsea aurata",
10429,hiunn-li2,hiuⁿ-lí,hiunn-li2,hiunn-lí,鄉里,"N ",,,"countryside, village",
10430,hiunn-liau7,hiuⁿ-liāu,hiunn-liau7,hiunn-liāu,香料,"N ",,,"fragrant materials (used to make incense, or to add fragrance to food)",
10431,hiunn-liau7,hiuⁿ-liāu,hiunn-liau7,hiunn-liāu,香料,"N ",,,offerings of money made to the temple,
10432,hiunn-loo5,hiuⁿ-lô͘,hiunn-loo5,hiunn-lôo,香爐,"N ",ê,,"censer, holder for incense sticks",
10433,hiunn-oann3(-toh),hiuⁿ-oàⁿ(-toh),hiunn-uann3(-toh),hiunn-uànn(-toh),香案(桌),"N ",tè,,incense table,
10434,hiunn-phang,hiuⁿ-phang,hiunn-phang,hiunn-phang,香包，香袋,"N ",,,"sachet, incense bag (worn for fragrance only, cf hiuN-he2)",
10435,hiunn-sam,hiuⁿ-sam,hiunn-sam,hiunn-sam,香杉,"N ",châng,,"Formosan China fir, Cuninghamia konishii",
10436,hiunn-soann3,hiuⁿ-sòaⁿ,hiunn-suann3,hiunn-suànn,香線,"N ",ki,,"long incense ""stick"" with no bamboo inside (frequently in form of a spiral, suspended for burning)",
