id,poj_input,poj_unicode,tailo_input,tailo_unicode,hoagi,abbreviations,noun_classifiers,reduplication,english_descriptions,page_number
22098,m7-ah,m̄-ah,m7-ah,m̄-ah,不要,"Res ",,,decidedly not!,
22099,m7-bian2,m̄-bián,m7-bian2,m̄-bián,不用,"AV ",,,unnecessary to ( a variant of bian2 resulting from pre-nasalization of b),
22100,m7-chai-thau5,m̄-chai-thâu,m7-tsai-thau5,m̄-tsai-thâu,不知道 無意的,"V ",,,be unaware,
22101,m7-chai thinn toe7,m̄-chai thiⁿ tōe,m7-tsai thinn tue7,m̄-tsai thinn tuē,不知天高地厚,"Vph ",,,"be unconscious of a (bad) situation, be in ignorance of",
22102,m7-chiann5 chiah8,m̄-chiâⁿ chia̍h,m7-tsiann5 tsiah8,m̄-tsiânn tsia̍h,吃不好,"Vph ",,,be unable to eat proper meals (through illness or poverty),
22103,m7-chiann5-iunn7,m̄-chiâⁿ-iūⁿ,m7-tsiann5-iunn7,m̄-tsiânn-iūnn,不成樣,"SV ph ",,,"deformed, not well formed",
22104,m7-chiann5-khoan2,m̄-chiâⁿ-khoán,m7-tsiann5-khuan2,m̄-tsiânn-khuán,不成樣,"SV ph ",,,"improper (action), unacceptable (behavior)",
22105,m7(-kam)-goan7,m̄(-kam)-goān,m7(-kam)-guan7,m̄(-kam)-guān,不(甘)願,"SV ph ",,,resentful,
22106,m7-kiann-keng/te5,m̄-kiaⁿ-keng/tê,m7-kiann-king/te5,m̄-kiann-king/tê,不警莉(茶),"N ",châng,,"Negundo chaste-tree, Vitex negundo",
22107,m7-koan2,m̄-koán,m7-kuan2,m̄-kuán,不管,"Vph ",,,be unwilling to oversee,
22108,m7-koan2,m̄-koán,m7-kuan2,m̄-kuán,不管,"Ccl ",,,"(introduces a clause in which alternatives are excluded) : no matter whether, no matter which",
22109,m7-ku2,m̄-kú,m7-ku2,m̄-kú,不過,"Ccl ",,,"(introduces a clause which records an action or event other than would be expected from the precedingclause -- which may be introduced by siu-jian5) : but, however, neverthless (syn chong2-si7)",
22110,m7-na7,m̄-nā,m7-na7,m̄-nā,不但,"Ccl ",,,"(introduces a clause and specifies that the actor ot action is not isolated. It is complemented by another Ccl in the following clause) : not only <m7-na7…ia7…: not only…but also…>, <m7-na7…hoan2-tng2…: not only…but on the contrary…>, <m7-na7…koh...: not only...but in addition...>, <m7-na7...bo5-taN2-kin2...: not only... but...(something even worse)>",
22111,m7-si7,m̄-sī,m7-si7,m̄-sī,不是,"Veq ph ",,,not be,
22112,m7-si7,m̄-sī,m7-si7,m̄-sī,不是,"Res ",,,(to a question ending in si7-m7-si7 or si7-bo5): No,
22113,m7-tan7-na7,m̄-tān-nā,m7-tan7-na7,m̄-tān-nā,不光是,"Ccl ",,,(intorduces a clause and specifies that the actor or action is not isolated. It is complemented by another Ccl in the following clause) : not only… (but also)…(cf m7-na7),
22114,m7-tioh8,m̄-tio̍h,m7-tioh8,m̄-tio̍h,不,"Neg AV ",,,"must not, ought not, should not",
22115,m7-tioh8,m̄-tio̍h,m7-tioh8,m̄-tio̍h,應該,"pVmod ",,,"carelessly, in error, mistakenly",
22116,m7-tioh8,m̄-tio̍h,m7-tioh8,m̄-tio̍h,錯,"Nsub ",,,"error, sin, wrong",
