id,poj_input,poj_other_input,poj_unicode,poj_other_unicode,tailo_input,tailo_other_input,tailo_unicode,tailo_other_unicode,hoagi,page_number
3971,Sau3,,Sàu,,Sau3,,Sàu,,掃,553
3972,Sau3 thoo5-kha,,Sàu thô͘-kha,,Sau3 thoo5-kha,,Sàu thôo-kha,,掃地,553
3973,Sau3-chiu2,,Sàu-chiú,,Sau3-tsiu2,,Sàu-tsiú,,掃帚,553
3974,Se2,,Sé,,Se2,,Sé,,洗,553
3975,Se3,,Sè,,Se3,,Sè,,小,554
3976,Se3-ji7,,Sè-jī,,Se3-ji7,,Sè-jī,,小心,554
3977,M7 bian2 se3-ji7,,M̄ bián sè-jī,,M7 bian2 se3-ji7,,M̄ bián sè-jī,,不要客氣,554
3978,M7 thang se3-ji7,,M̄ thang sè-jī,,M7 thang se3-ji7,,M̄ thang sè-jī,,不要客氣,554
3979,Se3-kan,,Sè-kan,,Se3-kan,,Sè-kan,,世間、世上,554
3980,Se3-kai3,,Sè-kài,,Se3-kai3,,Sè-kài,,世界,554
3981,Se3-i5,,Sè-î,,Se3-i5,,Sè-î,,姨太太,555
3982,Se3-ki2,,Sè-kí,,Se3-ki2,,Sè-kí,,世紀,555
3983,Se3-su7,,Sè-sū,,Se3-su7,,Sè-sū,,世事,555
3984,Bat se3-su7,,Bat sè-sū,,Bat se3-su7,,Bat sè-sū,,明世事,555
3985,M7 bat se3-su7,,M̄ bat sè-sū,,M7 bat se3-su7,,M̄ bat sè-sū,,不明世事,555
3986,Se3,,Sè,,Se3,,Sè,,權力、勢力,556
3987,U7 se3-lek8,,Ū sè-le̍k,,U7 se3-lik8,,Ū sè-li̍k,,有權的、有勢力,556
3988,Ho2 se3,,Hó sè,,Ho2 se3,,Hó sè,,安適,556
3989,Phainn2-se3,,Pháiⁿ-sè,,Phainn2-se3,,Pháinn-sè,,不好意思、不舒適,557
3990,Seh,,Seh,,Seh,,Seh,,雪,557
3991,Loh8-seh,,Lo̍h-seh,,Loh8-seh,,Lo̍h-seh,,下雪,557
3992,Seh8,,Se̍h,,Seh8,,Se̍h,,循環、轉、繞,557
3993,Sek,,Sek,,Sik,,Sik,,成熟(水果),558
3994,Sek8-sai7,,Se̍k-sāi,,Sik8-sai7,,Si̍k-sāi,,相識、認識,558
3995,Sek8-sai7-lang5,,Se̍k-sāi-lâng,,Sik8-sai7-lang5,,Si̍k-sāi-lâng,,熟人,558
3996,Sek8,,Se̍k,,Sik8,,Si̍k,,熟,558
3997,Sek,Sek-ti3,Sek,Sek-tì,Sik,Sik-ti3,Sik,Sik-tì,色,559
3998,Honn3-sek,,Hòⁿ-sek,,Honn3-sik,,Hònn-sik,,好色,559
3999,Sek,,Sek,,Sik,,Sik,,式、典禮,559
4000,Sek,,Sek,,Sik,,Sik,,室,559
4001,Kau3-sek,,Kàu-sek,,Kau3-sik,,Kàu-sik,,教室,559
4002,Sek-tong3,,Sek-tòng,,Sik-tong3,,Sik-tòng,,適當,559
4003,Seng-khu,,Seng-khu,,Sing-khu,,Sing-khu,,身體,559
4004,Seng5-kong,,Sêng-kong,,Sing5-kong,,Sîng-kong,,成功,559
4005,E7 seng5-kong,,Ē sêng-kong,,E7 sing5-kong,,Ē sîng-kong,,會成功,560
4006,Be7 seng5-kong,,Bē sêng-kong,,Be7 sing5-kong,,Bē sîng-kong,,不會成功,560
4007,Seng7,,Sēng,,Sing7,,Sīng,,放任,560
4008,Seng7 gin2-a2,,Sēng gín-á,,Sing7 gin2-a2,,Sīng gín-á,,放任兒女,560
4009,Seng-li2,,Seng-lí,,Sing-li2,,Sing-lí,,生意,560
4010,Seng-li2-lang5,,Seng-lí-lâng,,Sing-li2-lang5,,Sing-lí-lâng,,生意人,560
4011,Cho3 seng-li2,,Chò seng-lí,,Tso3 sing-li2,,Tsò sing-lí,,做生意、經商,560
4012,Seng-li2 be7 bai2,,Seng-lí bē bái,,Sing-li2 be7 bai2,,Sing-lí bē bái,,生意好、生意不錯,560
4013,Seng3,,Sèng,,Sing3,,Sìng,,聖,560
4014,Seng3-tng5,,Sèng-tn̂g,,Sing3-tng5,,Sìng-tn̂g,,聖堂,560
4015,Seng3-the2,,Sèng-thé,,Sing3-the2,,Sìng-thé,,聖體,560
4016,Nia2 seng3-the2,,Niá sèng-thé,,Nia2 sing3-the2,,Niá sìng-thé,,領聖體,560
4017,Seng3-the2 kang3-hok,,Sèng-thé kàng-hok,,Sing3-the2 kang3-hok,,Sìng-thé kàng-hok,,聖體降福,560
4018,Seng3-sim,,Sèng-sim,,Sing3-sim,,Sìng-sim,,聖心,560
4019,Seng3-thiong2,,Sèng-thióng,,Sing3-thiong2,,Sìng-thióng,,聖寵,561
4020,Seng3-bu2,Seng3-bo2,Sèng-bú,Sèng-bó,Sing3-bu2,Sing3-bo2,Sìng-bú,Sìng-bó,聖母,561
4021,Seng3 jiok8-sek,,Sèng jio̍k-sek,,Sing3 jiok8-sik,,Sìng jio̍k-sik,,聖若瑟,561
4022,Seng3-tan3-chiat,,Sèng-tàn-chiat,,Sing3-tan3-tsiat,,Sìng-tàn-tsiat,,聖誕節,561
