id,poj_input,poj_other_input,poj_unicode,poj_other_unicode,tailo_input,tailo_other_input,tailo_unicode,tailo_other_unicode,hoagi,page_number
3863,Poe7,,Pōe,,Pue7,,Puē,,背、違背,539
3864,Poe7-kau3,,Pōe-kàu,,Pue7-kau3,,Puē-kàu,,被教,539
3865,Poh8,,Po̍h,,Poh8,,Po̍h,,薄,539
3866,Poh8-le2,,Po̍h-lé,,Poh8-le2,,Po̍h-lé,,薄禮,539
3867,Poh8-sia7,,Po̍h-siā,,Poh8-sia7,,Po̍h-siā,,薄謝,539
3868,Pong7,,Pōng,,Pong7,,Pōng,,碰,539
3869,Pong7,,Pōng,,Pong7,,Pōng,,衡量、磅,540
3870,Pong7-a2,,Pōng-á,,Pong7-a2,,Pōng-á,,台秤,540
3871,Pong3,Han2,Pòng,Hán,Pong3,Han2,Pòng,Hán,造謠,540
3872,Pong7-khang,,Pōng-khang,,Pong7-khang,,Pōng-khang,,山洞,540
3873,Pu7,,Pū,,Pu7,,Pū,,爆彈、孵,541
3874,Pui5,,Pûi,,Pui5,,Puî,,肥,541
3875,Pui5,,Pûi,,Pui5,,Puî,,肥、肥料,541
3876,Loh8 pui5,,Lo̍h pûi,,Loh8 pui5,,Lo̍h puî,,下肥,541
3877,Pui5-liau7,,Pûi-liāu,,Pui5-liau7,,Puî-liāu,,肥料,541
3878,Pui7,,Pūi,,Pui7,,Puī,,吠,542
3879,Pui3-a2,,Pùi-á,,Pui3-a2,,Puì-á,,汗疣,542
3880,Pun2,,Pún,,Pun2,,Pún,,本,542
3881,Pun2-lai5,,Pún-lâi,,Pun2-lai5,,Pún-lâi,,本來,542
3882,Pun2 seng2,,Pún séng,,Pun2 sing2,,Pún síng,,本省,542
3883,Pun2-seng2-lang5,,Pún-séng-lâng,,Pun2-sing2-lang5,,Pún-síng-lâng,,本省人,542
3884,Pun2 chhi7,,Pún chhī,,Pun2 tshi7,,Pún tshī,,本市,542
3885,Pun2 hau7,,Pún hāu,,Pun2 hau7,,Pún hāu,,本校,542
3886,Pun seng3-tng5,,Pun sèng-tn̂g,,Pun sing3-tng5,,Pun sìng-tn̂g,,本聖堂,543
3887,Pun2-chinn5,,Pún-chîⁿ,,Pun2-tsinn5,,Pún-tsînn,,本錢,543
3888,Sih8-pun2,,Si̍h-pún,,Sih8-pun2,,Si̍h-pún,,虧本,543
3889,Pun5,,Pûn,,Pun5,,Pûn,,吹,543
3890,Pun5-ke-kui,,Pûn-ke-kui,,Pun5-ke-kui,,Pûn-ke-kui,,吹牛,543
3891,Pun5-hoa,Pun5-sit,Pûn-hoa,Pûn-sit,Pun5-hua,Pun5-sit,Pûn-hua,Pûn-sit,吹熄,543
3892,Pun,,Pun,,Pun,,Pun,,分,543
3893,Pun gu5-leng-hun2,,Pun gû-leng-hún,,Pun gu5-ling-hun2,,Pun gû-ling-hún,,分牛奶粉,544
3894,Pun sann,,Pun saⁿ,,Pun sann,,Pun sann,,,544
3895,Pun3-so3,,Pùn-sò,,Pun3-so3,,Pùn-sò,,垃圾,544
3896,Pun3-so3-lang2,,Pùn-sò-láng,,Pun3-so3-lang2,,Pùn-sò-láng,,垃圾箱,544
3897,Pun3-tau2,,Pùn-táu,,Pun3-tau2,,Pùn-táu,,畚箕,544
3898,Put,,Put,,Put,,Put,,不,544
3899,Put-hau3,,Put-hàu,,Put-hau3,,Put-hàu,,不孝,544
3900,Put-peng5,,Put-pêng,,Put-ping5,,Put-pîng,,不平、不滿,544
3901,Kong2 put-peng5,,Kóng put-pêng,,Kong2 put-ping5,,Kóng put-pîng,,講不平,544
3902,Put-chi2,,Put-chí,,Put-tsi2,,Put-tsí,,非常、很,544
3903,Put-chi2 hó,,Put-chí hó,,Put-tsi2 hó,,Put-tsí hó,,很好,545
3904,Put-heng7,,Put-hēng,,Put-hing7,,Put-hīng,,不幸,545
3905,Put-boan2,,Put-boán,,Put-buan2,,Put-buán,,不滿,545
3906,Put-beng5,,Put-bêng,,Put-bing5,,Put-bîng,,不明,545
3907,Put-cheng3,,Put-chèng,,Put-tsing3,,Put-tsìng,,不正,546
3908,Put-an,,Put-an,,Put-an,,Put-an,,不安,546
3909,Put-pian7,,Put-piān,,Put-pian7,,Put-piān,,不便,546
3910,Put hap8-li2,,Put ha̍p-lí,,Put hap8-li2,,Put ha̍p-lí,,不合理,547
3911,Put-kho2-leng5,,Put-khó-lêng,,Put-kho2-ling5,,Put-khó-lîng,,不可能,547
3912,Put-si5,,Put-sî,,Put-si5,,Put-sî,,常常、時常,547
3913,Put-ko3,,Put-kò,,Put-ko3,,Put-kò,,不過,547
3914,Put-tek-i2,,Put-tek-í,,Put-tik-i2,,Put-tik-í,,不得已,547
3915,Put8-la2,,Pu̍t-lá,,Put8-la2,,Pu̍t-lá,,佛像,548
3916,Sann,,Saⁿ,,Sann,,Sann,,衣服,548
3917,Sann-khoo3,,Saⁿ-khò͘,,Sann-khoo3,,Sann-khòo,,衫褲,548
3918,Sann-a2-tu5,,Saⁿ-á-tû,,Sann-a2-tu5,,Sann-á-tû,,衣櫥,548
3919,Sann-a2-te7,,Saⁿ-á-tē,,Sann-a2-te7,,Sann-á-tē,,衣袋,548
