"DictWordID","PojUnicode","PojInput","KipUnicode","KipInput","HanLoTaibunPoj","PageNumber"
"935","Hoan-á-chhì","Hoan-a2-chhi3","Huan-á-tshì","Huan-a2-tshi3","蕃仔刺","261"
"936","Gî-ho͘-toan","Gi5-hoo-toan","Gî-hoo-tuan","Gi5-hoo-tuan","宜呼端","261"
"937","Lek-san-ô͘","Lek-san-oo5","Lik-san-ôo","Lik-san-oo5","綠珊瑚","261"
"938","Thih-chhiū","Thih-chhiu7","Thih-tshiū","Thih-tshiu7","鐵樹","261"
"939","Sòe-pún-lin-á-chháu","Soe3-pun2-lin-a2-chhau2","Suè-pún-lin-á-tsháu","Sue3-pun2-lin-a2-tshau2","細本乳仔草","262"
"940","Âng-bé-á-chháu","Ang5-be2-a2-chhau2","Âng-bé-á-tsháu","Ang5-be2-a2-tshau2","紅尾仔草","262"
"941","Pián-thiok-chháu","Pian2-thiok-chhau2","Pián-thiok-tsháu","Pian2-thiok-tshau2","萹蓄草","262"
"942","Lin-chháu","Lin-chhau2","Lin-tsháu","Lin-tshau2","乳草","262"
"943","Hoan-hûn-chháu","Hoan-hun5-chhau2","Huan-hûn-tsháu","Huan-hun5-tshau2","翻魂草","262"
"944","Âng-lin-chháu","Ang5-lin-chhau2","Âng-lin-tsháu","Ang5-lin-tshau2","紅乳草","262"
"945","Lin-á-chháu","Lin-a2-chhau2","Lin-á-tsháu","Lin-a2-tshau2","乳仔草","262"
"946","O͘-á-ba̍k-chháu","Oo-a2-bak8-chhau2","Oo-á-ba̍k-tsháu","Oo-a2-bak8-tshau2","烏仔目草","262"
"947","Kè-lō͘-giâ-kang","Ke3-loo7-gia5-kang","Kè-lōo-giâ-kang","Ke3-loo7-gia5-kang","過路蜈蚣","262"
"948","Pián-chiong","Pian2-chiong","Pián-tsiong","Pian2-tsiong","蝙章","262"
"949","Âng-kut-sòe-pún-lin-á-chháu","Ang5-kut-soe3-pun2-lin-a2-chhau2","Âng-kut-suè-pún-lin-á-tsháu","Ang5-kut-sue3-pun2-lin-a2-tshau2","紅骨細本乳仔草","262"
"950","Thó͘-tîm-hiuⁿ","Thoo2-tim5-hiunn","Thóo-tîm-hiunn","Thoo2-tim5-hiunn","土沈香","262"
"951","Chúi-chha̍t-á","Chui2-chhat8-a2","Tsuí-tsha̍t-á","Tsui2-tshat8-a2","水賊仔","262"
"952","Pe̍h-chhiū-á","Peh8-chhiu7-a2","Pe̍h-tshiū-á","Peh8-tshiu7-a2","白樹仔","262"
"953","Bīn-thâu-ké","Bin7-thau5-ke2","Bīn-thâu-ké","Bin7-thau5-ke2","面頭菓","262"
"954","Chhiah-huih-á","Chhiah-huih-a2","Tshiah-huih-á","Tshiah-huih-a2","赤血仔","262"
"955","Bīn-thâu-ké","Bin7-thau5-ke2","Bīn-thâu-ké","Bin7-thau5-ke2","面頭菓","263"
"956","Sòe-hio̍h-chhiah-huih-á","Soe3-hioh8-chhiah-huih-a2","Suè-hio̍h-tshiah-huih-á","Sue3-hioh8-tshiah-huih-a2","細葉赤血仔","263"
"957","Tōa-hio̍h-bīn-thâu-ké","Toa7-hioh8-bin7-thau5-ke2","Tuā-hio̍h-bīn-thâu-ké","Tua7-hioh8-bin7-thau5-ke2","大葉面頭菓","263"
"958","Tōa-âng-sim","Toa7-ang5-sim","Tuā-âng-sim","Tua7-ang5-sim","大紅心","263"
"959","Sòe-hio̍h-bīn-thâu-ké","Soe3-hioh8-bin7-thau5-ke2","Suè-hio̍h-bīn-thâu-ké","Sue3-hioh8-bin7-thau5-ke2","細葉面頭菓","263"
"960","Bîn-thâu-ké","Bin5-thau5-ke2","Bîn-thâu-ké","Bin5-thau5-ke2","面頭菓","263"
"961","Bûn-thâu-ké","Bun5-thau5-ke2","Bûn-thâu-ké","Bun5-thau5-ke2","文頭菓","263"
"962","Chúi-liú-á","Chui2-liu2-a2","Tsuí-liú-á","Tsui2-liu2-a2","水柳仔","264"
"963","Iû-tông-chhiū","Iu5-tong5-chhiu7","Iû-tông-tshiū","Iu5-tong5-tshiu7","油桐樹","264"
"964","Chúi-chhat","Chui2-chhat","Tsuí-tshat","Tsui2-tshat","水漆","264"
"965","Pa-tāu","Pa-tau7","Pa-tāu","Pa-tau7","巴豆","264"
"966","Huih-tông","Huih-tong5","Huih-tông","Huih-tong5","血桐","264"
"967","Tōa-phàⁿ-chhiū","Toa7-phann3-chhiu7","Tuā-phànn-tshiū","Tua7-phann3-tshiu7","大冇樹","264"
"968","Bīn-thâu-ké","Bin7-thau5-ke2","Bīn-thâu-ké","Bin7-thau5-ke2","面頭菓","264"
"969","Teng-tông","Teng-tong5","Ting-tông","Ting-tong5","橙桐","264"
"970","Teng-lân","Teng-lan5","Ting-lân","Ting-lan5","橙欄","264"
"971","Peh-bah-pe̍h-pû-á","Peh-bah-peh8-pu5-a2","Peh-bah-pe̍h-pû-á","Peh-bah-peh8-pu5-a2","白肉白匏仔","264"
"972","Pe̍h-pû-á","Peh8-pu5-a2","Pe̍h-pû-á","Peh8-pu5-a2","白匏仔","264"
"973","Pe̍h-hio̍h-á","Peh8-hioh8-a2","Pe̍h-hio̍h-á","Peh8-hioh8-a2","白葉仔","264"
"974","Pe̍h-pû","Peh8-pu5","Pe̍h-pû","Peh8-pu5","白匏","264"
"975","Khī-kô͘-bo̍k","Khi7-koo5-bok8","Khī-kôo-bo̍k","Khi7-koo5-bok8","柿糊木","265"
"976","La̍k-liàm-á","Lak8-liam3-a2","La̍k-liàm-á","Lak8-liam3-a2","六棯仔","265"
"977","Lā-lí-á","La7-li2-a2","Lā-lí-á","La7-li2-a2","嘮哩仔","265"
"978","La̍k-kiám-á","Lak8-kiam2-a2","La̍k-kiám-á","Lak8-kiam2-a2","六檢仔","265"
"979","Kau-tîn","Kau-tin5","Kau-tîn","Kau-tin5","鈎藤","265"
"980","Pùn-ki-tîn","Pun3-ki-tin5","Pùn-ki-tîn","Pun3-ki-tin5","糞箕藤","265"
"981","Chhiū-chû","Chhiu7-chu5","Tshiū-tsû","Tshiu7-tsu5","樹薯","265"
"982","Pe̍h-chhiū-á","Peh8-chhiu7-a2","Pe̍h-tshiū-á","Peh8-tshiu7-a2","白樹仔","265"
"983","Thâng-sái","Thang5-sai2","Thâng-sái","Thang5-sai2","蟲屎","265"
"984","Iû-kam","Iu5-kam","Iû-kam","Iu5-kam","油柑","265"
"985","Ah-thô͘-chu","Ah-thoo5-chu","Ah-thôo-tsu","Ah-thoo5-tsu","鴨土珠、椏土珠","266"
"986","Sió-hoan-hûn","Sio2-hoan-hun5","Sió-huan-hûn","Sio2-huan-hun5","小翻魂","266"
"987","Hio̍h-ē-chu","Hioh8-e7-chu","Hio̍h-ē-tsu","Hioh8-e7-tsu","葉下珠","266"
"988","Sòe-pún-lin-á-chháu","Soe3-pun2-lin-a2-chhau2","Suè-pún-lin-á-tsháu","Sue3-pun2-lin-a2-tshau2","細本乳仔草","266"
"989","Pe̍h-kut-chu-á-chháu","Peh8-kut-chu-a2-chhau2","Pe̍h-kut-tsu-á-tsháu","Peh8-kut-tsu-a2-tshau2","白骨珠仔草","266"
"990","Chu-á-chháu","Chu-a2-chhau2","Tsu-á-tsháu","Tsu-a2-tshau2","珠仔草","266"
"991","Hio̍h-ē-chu","Hioh8-e7-chu","Hio̍h-ē-tsu","Hioh8-e7-tsu","葉下珠","266"
"992","Âng-kut-kiā-chàn-chu-á-chha̍h","Ang5-kut-kia7-chan3-chu-a2-chhah8","Âng-kut-kiā-tsàn-tsu-á-tsha̍h","Ang5-kut-kia7-tsan3-tsu-a2-tshah8","紅骨崎層珠仔草","266"
"993","O͘-kam-á","Oo-kam-a2","Oo-kam-á","Oo-kam-a2","烏柑仔","266"
"994","Pi-môa","Pi-moa5","Pi-muâ","Pi-mua5","蓖麻","266"
"995","Âng-to͘-pi","Ang5-too-pi","Âng-too-pi","Ang5-too-pi","紅？蓖","266"
"996","Pi-môa-á","Pi-moa5-a2","Pi-muâ-á","Pi-mua5-a2","蓖麻仔","266"
"997","Âng-pi-môa","Ang5-pi-moa5","Âng-pi-muâ","Ang5-pi-mua5","紅蓖麻","266"
"998","Soaⁿ-khēng","Soann-kheng7","Suann-khīng","Suann-khing7","山柏","266"
"999","Phàⁿ-khēng","Phann3-kheng7","Phànn-khīng","Phann3-khing7","冇柏","266"
"1000","Pe̍h-kheng","Peh8-kheng","Pe̍h-khing","Peh8-khing","白柏","266"
"1001","Khēng-á","Kheng7-a2","Khīng-á","Khing7-a2","柏仔","266"
"1002","Khēng-á","Kheng7-a2","Khīng-á","Khing7-a2","柏仔","267"
"1003","Khēng-á-chhiū","Kheng7-a2-chhiu7","Khīng-á-tshiū","Khing7-a2-tshiu7","柏仔樹","267"
"1004","Chhī-chhang","Chhi7-chhang","Tshī-tshang","Tshi7-tshang","市葱","267"
"1005","Chhì-chhang","Chhi3-chhang","Tshì-tshang","Tshi3-tshang","刺葱","267"
"1006","Chio̍h-liú","Chioh8-liu2","Tsio̍h-liú","Tsioh8-liu2","石柳","267"
"1007","Chio̍h-liú","Chioh8-liu2","Tsio̍h-liú","Tsioh8-liu2","石柳","267"
"1008","Lōe-tē-chio̍h-liú","Loe7-te7-chioh8-liu2","Luē-tē-tsio̍h-liú","Lue7-te7-tsioh8-liu2","內地石柳","267"
