"poj_unicode","poj_input","kiplmj_unicode","kiplmj_input","main_id"
"bîn-chiòng","bin5-chiong3","bîn-tsiòng","bin5-tsiong3","285"
"bîn-cho̍k","bin5-chok8","bîn-tso̍k","bin5-tsok8","286"
"bîn-ná-chài ê chím-má","bin5-na2-chai3 e5 chim2-ma2","bîn-ná-tsài ê tsím-má","bin5-na2-tsai3 e5 tsim2-ma2","287"
"biō","bio7","biō","bio7","288"
"bió","bio2","bió","bio2","289"
"biô","bio5","biô","bio5","290"
"bi̍t","bit8","bi̍t","bit8","291"
"bi̍t-phang","bit8-phang","bi̍t-phang","bit8-phang","292"
"bi̍t-goa̍t","bit8-goat8","bi̍t-gua̍t","bit8-guat8","293"
"bi̍t-goa̍t lí-hêng","bit8-goat8 li2-heng5","bi̍t-gua̍t lí-hîng","bit8-guat8 li2-hing5","294"
"bi̍t-hōe","bit8-hoe7","bi̍t-huē","bit8-hue7","295"
"bi̍t-kò","bit8-ko3","bi̍t-kò","bit8-ko3","296"
"bi̍t-tâm","bit8-tam5","bi̍t-tâm","bit8-tam5","297"
"bi̍t-gī","bit8-gi7","bi̍t-gī","bit8-gi7","298"
"bô","bo5","bô","bo5","299"
"bô sím-mih","bo5 sim2-mih","bô sím-mih","bo5 sim2-mih","300"
"bô-chhái","bo5-chhai2","bô-tshái","bo5-tshai2","301"
"bô--khì","bo5--khi3","bô--khì","bo5--khi3","302"
"bô--khì-à","bo5--khi3-a3","bô--khì-à","bo5--khi3-a3","303"
"bô thâu-náu","bo5 thau5-nau2","bô thâu-náu","bo5 thau5-nau2","304"
"bô-tùi","bo5-tui3","bô-tuì","bo5-tui3","305"
"bô lé-māu","bo5 le2-mau7","bô lé-māu","bo5 le2-mau7","306"
"bō-á","bo7-a2","bō-á","bo7-a2","307"
"tì bō-á","ti3 bo7-a2","tì bō-á","ti3 bo7-a2","308"
"liù bō-á","liu3 bo7-a2","liù bō-á","liu3 bo7-a2","309"
"bô lūn","bo5 lun7","bô lūn","bo5 lun7","310"
"bô-lūn sím-mih","bo5-lun7 sim2-mih","bô-lūn sím-mih","bo5-lun7 sim2-mih","311"
"bô-lūn sím-mih lâng","bo5-lun7 sim2-mih lang5","bô-lūn sím-mih lâng","bo5-lun7 sim2-mih lang5","312"
"bô-lūn toh-ūi","bo5-lun7 toh-ui7","bô-lūn toh-uī","bo5-lun7 toh-ui7","313"
"bô-lūn sím-mih só͘-chāi","bo5-lun7 sim2-mih soo2-chai7","bô-lūn sím-mih sóo-tsāi","bo5-lun7 sim2-mih soo2-tsai7","314"
"bô chhái-kang","bo5 chhai2-kang","bô tshái-kang","bo5 tshai2-kang","315"
"bó-chhin","bo2-chhin","bó-tshin","bo2-tshin","316"
"bú-chhin","bu2-chhin","bú-tshin","bu2-tshin","316"
"bô lō͘ ēng","bo5 loo7 eng7","bô lōo īng","bo5 loo7 ing7","317"
"bô su-iâⁿ","bo5 su-iann5","bô su-iânn","bo5 su-iann5","318"
"bô iàu-kín","bo5 iau3-kin2","bô iàu-kín","bo5 iau3-kin2","319"
"bô koan-hē","bo5 koan-he7","bô kuan-hē","bo5 kuan-he7","320"
"bô lí ê koan-hē","bo5 li2 e5 koan-he7","bô lí ê kuan-hē","bo5 li2 e5 kuan-he7","321"
"bô lí ê tāi-chì","bo5 li2 e5 tai7-chi3","bô lí ê tāi-tsì","bo5 li2 e5 tai7-tsi3","322"
"bô chú-ì","bo5 chu2-i3","bô tsú-ì","bo5 tsu2-i3","323"
"bô sè-jī","bo5 se3-ji7","bô sè-jī","bo5 se3-ji7","323"
"bô tiuⁿ-tî","bo5 tiunn-ti5","bô tiunn-tî","bo5 tiunn-ti5","324"
"bô iân-kò͘","bo5 ian5-koo3","bô iân-kòo","bo5 ian5-koo3","325"
"bô lí-iû","bo5 li2-iu5","bô lí-iû","bo5 li2-iu5","325"
"bó͘","boo2","bóo","boo2","326"
"bó͘-bó͘","boo2-boo2","bóo-bóo","boo2-boo2","327"
"cha-bó͘","cha-boo2","tsa-bóo","tsa-boo2","328"
"cha-bó͘--ê","cha-boo2--e5","tsa-bóo--ê","tsa-boo2--e5","329"
"cha-bó͘ gín-ná","cha-boo2 gin2-na2","tsa-bóo gín-ná","tsa-boo2 gin2-na2","330"
"cha-bó͘ kiáⁿ","cha-boo2 kiann2","tsa-bóo kiánn","tsa-boo2 kiann2","331"
"bō͘-e̍k","boo7-ek8","bōo-i̍k","boo7-ik8","332"
"bō͘ e̍k siong","boo7 ek8 siong","bōo i̍k siong","boo7 ik8 siong","333"
"bō͘-chi̍p","boo7-chip8","bōo-tsi̍p","boo7-tsip8","334"
"bō͘-koan","boo7-koan","bōo-kuan","boo7-kuan","335"
"bô͘-hoān","boo5-hoan7","bôo-huān","boo5-huan7","336"
"boah","boah","buah","buah","337"
"boah iû","boah iu5","buah iû","buah iu5","338"
"boah io̍h-á","boah ioh8-a2","buah io̍h-á","buah ioh8-a2","339"
"boah ba̍k io̍h","boah bak8 ioh8","buah ba̍k io̍h","buah bak8 ioh8","340"
"boah piah","boah piah","buah piah","buah piah","341"
"boah-hún","boah-hun2","buah-hún","buah-hun2","342"
"bōe","boe7","buē","bue7","343"
"iáu-bōe","iau2-boe7","iáu-buē","iau2-bue7","343"
"bóe","boe2","bué","bue2","344"
"chi̍t bóe chôa","chit8 boe2 choa5","tsi̍t bué tsuâ","tsit8 bue2 tsua5","345"
"ū thâu, bô bóe","u7 thau5, bo5 boe2","ū thâu, bô bué","u7 thau5, bo5 bue2","346"
