poj_unicode,poj_input,kiplmj_unicode,kiplmj_input,main_id
lîn-chō,lin5-cho7,lîn-tsō,lin5-tso7,146
to-chhùi,to-chhui3,to-tshuì,to-tshui3,147
ji̍p-tiûⁿ,jip8-tiunn5,ji̍p-tiûnn,jip8-tiunn5,149
li̍p-tiûⁿ,lip8-tiunn5,li̍p-tiûnn,lip8-tiunn5,149
liáu-jiân,liau2-jian5,liáu-jiân,liau2-jian5,150
liáu-liân,liau2-lian5,liáu-liân,liau2-lian5,150
le̍k-liōng,lek8-liong7,li̍k-liōng,lik8-liong7,151
thiau-ì-kò͘,thiau-i3-koo3,thiau-ì-kòo,thiau-i3-koo3,152
tiau-ì-kò͘,tiau-i3-koo3,tiau-ì-kòo,tiau-i3-koo3,152
Chhit-iâ,Chhit-ia5,Tshit-iâ,Tshit-ia5,153
to-kheng,to-kheng,to-khing,to-khing,154
iū-koh,iu7-koh,iū-koh,iu7-koh,155
lâng-iáⁿ,lang5-iann2,lâng-iánn,lang5-iann2,156
káu-chàn-thah,kau2-chan3-thah,káu-tsàn-thah,kau2-tsan3-thah,157
lâng-pān,lang5-pan7,lâng-pān,lang5-pan7,158
lâng-iân,lang5-ian5,lâng-iân,lang5-ian5,159
ji̍p-o̍h,jip8-oh8,ji̍p-o̍h,jip8-oh8,160
li̍p-o̍h,lip8-oh8,li̍p-o̍h,lip8-oh8,160
ji̍p-ha̍k,jip8-hak8,ji̍p-ha̍k,jip8-hak8,160
li̍p-ha̍k,lip8-hak8,li̍p-ha̍k,lip8-hak8,160
ji̍p-soán,jip8-soan2,ji̍p-suán,jip8-suan2,161
li̍p-soán,lip8-soan2,li̍p-suán,lip8-suan2,161
liáu-chîⁿ,liau2-chinn5,liáu-tsînn,liau2-tsinn5,162
lâng-thâu,lang5-thau5,lâng-thâu,lang5-thau5,163
la̍t-thâu,lat8-thau5,la̍t-thâu,lat8-thau5,164
ji̍p-liām,jip8-liam7,ji̍p-liām,jip8-liam7,165
li̍p-liām,lip8-liam7,li̍p-liām,lip8-liam7,165
ji̍p-siaⁿ,jip8-siann,ji̍p-siann,jip8-siann,166
li̍p-siaⁿ,lip8-siann,li̍p-siann,lip8-siann,166
thiau-lân,thiau-lan5,thiau-lân,thiau-lan5,167
tiau-lân,tiau-lan5,tiau-lân,tiau-lan5,167
jîn-khoân,jin5-khoan5,jîn-khuân,jin5-khuan5,168
lîn-khoân,lin5-khoan5,lîn-khuân,lin5-khuan5,168
jîn-koân,jin5-koan5,jîn-kuân,jin5-kuan5,168
lîn-koân,lin5-koan5,lîn-kuân,lin5-kuan5,168
tn̄g,tng7,tn̄g,tng7,169
sam,sam,sam,sam,170
saⁿ,sann,sann,sann,171
chiūⁿ,chiunn7,tsiūnn,tsiunn7,172
chhiūⁿ,chhiunn7,tshiūnn,tshiunn7,173
siōng,siong7,siōng,siong7,174
"ē",e7,ē,e7,175
hā,ha7,hā,ha7,176
hē,he7,hē,he7,177
kē,ke7,kē,ke7,178
"ê",e5,ê,e5,179
oân,oan5,uân,uan5,180
kú,ku2,kú,ku2,181
io,io,io,io,182
khit,khit,khit,khit,183
iā,ia7,iā,ia7,184
"ā",a7,ā,a7,184
bông,bong5,bông,bong5,185
hoân,hoan5,huân,huan5,186
hoān,hoan7,huān,huan7,187
hān,han7,hān,han7,187
chhian,chhian,tshian,tshian,188
chheng,chheng,tshing,tshing,189
chhe,chhe,tshe,tshe,190
kháu,khau2,kháu,khau2,191
thó͘,thoo2,thóo,thoo2,192
sū,su7,sū,su7,193
ta,ta,ta,ta,194
tāi,tai7,tāi,tai7,195
tōa,toa7,tuā,tua7,196
lí,li2,lí,li2,197
lú,lu2,lú,lu2,197
lú,lu2,lú,lu2,198
chí,chi2,tsí,tsi2,199
chú,chu2,tsú,tsu2,200
jí,ji2,jí,ji2,201
lí,li2,lí,li2,201
chhùn,chhun3,tshùn,tshun3,202
siáu,siau2,siáu,siau2,203
sió,sio2,sió,sio2,204
san,san,san,san,205
soaⁿ,soann,suann,suann,206
kang,kang,kang,kang,207
kong,kong,kong,kong,208
kí,ki2,kí,ki2,209
chī,chi7,tsī,tsi7,210
kin,kin,kin,kin,211
kun,kun,kun,kun,211
kan,kan,kan,kan,212
keng,keng,king,king,213
châi,chai5,tsâi,tsai5,214
chiah,chiah,tsiah,tsiah,215
chhâi,chhai5,tshâi,tshai5,216
"ē-ham",e7-ham,ē-ham,e7-ham,217
tiūⁿ-lâng,tiunn7-lang5,tiūnn-lâng,tiunn7-lang5,218
sam-pat,sam-pat,sam-pat,sam-pat,219
thó͘-lâng,thoo2-lang5,thóo-lâng,thoo2-lang5,220
tāi-jîn,tai7-jin5,tāi-jîn,tai7-jin5,221
tāi-lîn,tai7-lin5,tāi-lîn,tai7-lin5,221
tōa-lâng,toa7-lang5,tuā-lâng,tua7-lang5,222
tōa-la̍t,toa7-lat8,tuā-la̍t,tua7-lat8,223
siáu-jîn,siau2-jin5,siáu-jîn,siau2-jin5,224
siáu-lîn,siau2-lin5,siáu-lîn,siau2-lin5,224
chhoan-chhit,chhoan-chhit,tshuan-tshit,tshuan-tshit,225
kang-lâng,kang-lang5,kang-lâng,kang-lang5,226
tiūⁿ-lâng-kong,tiunn7-lang5-kong,tiūnn-lâng-kong,tiunn7-lang5-kong,227
sam-chhit-á,sam-chhit-a2,sam-tshit-á,sam-tshit-a2,228
tiūⁿ-lâng-pâ,tiunn7-lang5-pa5,tiūnn-lâng-pâ,tiunn7-lang5-pa5,229
sam-pat-khùi,sam-pat-khui3,sam-pat-khuì,sam-pat-khui3,230
tiūⁿ-lâng-má,tiunn7-lang5-ma2,tiūnn-lâng-má,tiunn7-lang5-ma2,231
siōng-kú,siong7-ku2,siōng-kú,siong7-ku2,232
siāng-kú,siang7-ku2,siāng-kú,siang7-ku2,232
chiūⁿ-soaⁿ,chiunn7-soann,tsiūnn-suann,tsiunn7-suann,233
hā-san,ha7-san,hā-san,ha7-san,234
kú-kú,ku2-ku2,kú-kú,ku2-ku2,235
tōa-ē,toa7-e7,tuā-ē,tua7-e7,236
sió-kháu,sio2-khau2,sió-kháu,sio2-khau2,237
sió-kang,sio2-kang,sió-kang,sio2-kang,238
châi-chú,chai5-chu2,tsâi-tsú,tsai5-tsu2,239
tāi-tiōng-hu,tai7-tiong7-hu,tāi-tiōng-hu,tai7-tiong7-hu,240
kan-kan-á,kan-kan-a2,kan-kan-á,kan-kan-a2,241
Sam-san-kok-ông,Sam-san-kok-ong5,Sam-san-kok-ông,Sam-san-kok-ong5,242
chhian-chhian-bān-bān,chhian-chhian-ban7-ban7,tshian-tshian-bān-bān,tshian-tshian-ban7-ban7,243
chiūⁿ-soaⁿ-thâu,chiunn7-soann-thau5,tsiūnn-suann-thâu,tsiunn7-suann-thau5,244
tiūⁿ-kong,tiunn7-kong,tiūnn-kong,tiunn7-kong,245
Siōng-goân,Siong7-goan5,Siōng-guân,Siong7-guan5,246
Hā-goân,Ha7-goan5,Hā-guân,Ha7-guan5,247
"ē-ûn",e7-un5,ē-ûn,e7-un5,248
tāi-put-liáu,tai7-put-liau2,tāi-put-liáu,tai7-put-liau2,249
sam-put-gō͘-sî,sam-put-goo7-si5,sam-put-gōo-sî,sam-put-goo7-si5,250
thó͘-kong-á,thoo2-kong-a2,thóo-kong-á,thoo2-kong-a2,251
siáu-thiú-á,siau2-thiu2-a2,siáu-thiú-á,siau2-thiu2-a2,252
siáu-thiúⁿ-á,siau2-thiunn2-a2,siáu-thiúnn-á,siau2-thiunn2-a2,252
thó͘-kong-á-sèng,thoo2-kong-a2-seng3,thóo-kong-á-sìng,thoo2-kong-a2-sing3,253
Siōng-goân-mê,Siong7-goan5-me5,Siōng-guân-mê,Siong7-guan5-me5,254
Siōng-goân-mî,Siong7-goan5-mi5,Siōng-guân-mî,Siong7-guan5-mi5,254
siōng-ngó͘,siong7-ngoo2,siōng-ngóo,siong7-ngoo2,255
siōng-thian,siong7-thian,siōng-thian,siong7-thian,256
chiūⁿ-chhiú,chiunn7-chhiu2,tsiūnn-tshiú,tsiunn7-tshiu2,257
chhiūⁿ-chúi,chhiunn7-chui2,tshiūnn-tsuí,tshiunn7-tsui2,258
hā-ngó͘,ha7-ngoo2,hā-ngóo,ha7-ngoo2,259
hē-chhiú,he7-chhiu2,hē-tshiú,he7-tshiu2,260
"ē-chhiú",e7-chhiu2,ē-tshiú,e7-tshiu2,261
hā-súi,ha7-sui2,hā-suí,ha7-sui2,262
thó͘-bo̍k,thoo2-bok8,thóo-bo̍k,thoo2-bok8,263
thó͘-ba̍k,thoo2-bak8,thóo-ba̍k,thoo2-bak8,263
tāi-hong,tai7-hong,tāi-hong,tai7-hong,264
tōa-ji̍t,toa7-jit8,tuā-ji̍t,tua7-jit8,265
tōa-li̍t,toa7-lit8,tuā-li̍t,tua7-lit8,265
tōa-goe̍h,toa7-goeh8,tuā-gue̍h,tua7-gueh8,266
tōa-ge̍h,toa7-geh8,tuā-ge̍h,tua7-geh8,266
chhùn-chhioh,chhun3-chhioh,tshùn-tshioh,tshun3-tshioh,267
sió-sim,sio2-sim,sió-sim,sio2-sim,268
sió-goe̍h,sio2-goeh8,sió-gue̍h,sio2-gueh8,269
sió-ge̍h,sio2-geh8,sió-ge̍h,sio2-geh8,269
sió-ba̍k,sio2-bak8,sió-ba̍k,sio2-bak8,270
kang-hu,kang-hu,kang-hu,kang-hu,271
Sam-thài-chú,Sam-thai3-chu2,Sam-thài-tsú,Sam-thai3-tsu2,272
siāng-chhe-kong,siang7-chhe-kong,siāng-tshe-kong,siang7-tshe-kong,273
sam-sim-lióng-ì,sam-sim-liong2-i3,sam-sim-lióng-ì,sam-sim-liong2-i3,274
tōa-sim-khùi,toa7-sim-khui3,tuā-sim-khuì,tua7-sim-khui3,275
chhian-kin-chhìn,chhian-kin-chhin3,tshian-kin-tshìn,tshian-kin-tshin3,276
chhian-kun-chhìn,chhian-kun-chhin3,tshian-kun-tshìn,tshian-kun-tshin3,276
sam-bûn-hî,sam-bun5-hi5,sam-bûn-hî,sam-bun5-hi5,277
sam-bûn-hû,sam-bun5-hu5,sam-bûn-hû,sam-bun5-hu5,277
hā-súi-thng,ha7-sui2-thng,hā-suí-thng,ha7-sui2-thng,278
tōa-pêng,toa7-peng5,tuā-pîng,tua7-ping5,279
oân-á,oan5-a2,uân-á,uan5-a2,280
tōa-hiaⁿ,toa7-hiann,tuā-hiann,tua7-hiann,281
kang-á,kang-a2,kang-á,kang-a2,282
kin-á,kin-a2,kin-á,kin-a2,283
kun-á,kun-a2,kun-á,kun-a2,283
keng-á,keng-a2,king-á,king-a2,284
tōa-chú-tōa-ì,toa7-chu2-toa7-i3,tuā-tsú-tuā-ì,tua7-tsu2-tua7-i3,285
tōa tāi-chì,toa7 tai7-chi3,tuā tāi-tsì,tua7 tai7-tsi3,286
siōng-ke,siong7-ke,siōng-ke,siong7-ke,287
siāng-ke,siang7-ke,siāng-ke,siang7-ke,287
chiūⁿ-pak,chiunn7-pak,tsiūnn-pak,tsiunn7-pak,288
"ē-si",e7-si,ē-si,e7-si,289
thó͘-pau-á,thoo2-pau-a2,thóo-pau-á,thoo2-pau-a2,290
sió-khóa-á,sio2-khoa2-a2,sió-khuá-á,sio2-khua2-a2,291
tōa-sì-kè,toa7-si3-ke3,tuā-sì-kè,tua7-si3-ke3,292
tōa-sì-kòe,toa7-si3-koe3,tuā-sì-kuè,tua7-si3-kue3,292
chiūⁿ-siap-bē-liap,chiunn7-siap-be7-liap,tsiūnn-siap-bē-liap,tsiunn7-siap-be7-liap,293
